year,mo,da,temp,dewp,visib,wdsp,prcp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
1973,06,29,73.8,69.8,4.8,7.7,1.18,1,1,0,0,1,0
1973,06,30,75.6,70.0,4.2,6.6,1.1,1,1,0,0,1,0
1973,07,01,77.3,65.7,4.0,4.9,0.0,1,0,0,0,0,0
1973,07,02,79.0,64.8,6.0,5.9,0.0,0,0,0,0,0,0
1973,07,03,77.1,68.1,6.4,6.3,99.99,1,1,0,0,0,0
1973,07,04,79.0,71.4,6.1,6.9,0.08,1,1,0,0,0,0
1973,07,05,79.5,68.6,6.4,6.3,0.59,0,1,0,0,1,0
1973,07,06,78.0,58.2,17.8,9.1,0.0,0,0,0,0,0,0
1973,07,07,80.3,61.1,12.2,7.3,0.0,0,0,0,0,0,0
1973,07,08,84.8,67.2,5.4,7.4,0.0,0,0,0,0,0,0
1973,07,09,86.2,68.0,3.7,6.4,0.0,0,0,0,0,0,0
1973,07,10,86.0,66.6,4.8,7.4,0.0,0,0,0,0,0,0
1973,07,11,79.0,65.5,7.3,7.6,0.0,0,1,0,0,1,0
1973,07,12,69.4,48.5,18.8,12.7,0.2,0,0,0,0,0,0
1973,07,13,70.5,55.0,14.7,7.9,0.0,0,1,0,0,0,0
1973,07,14,81.9,65.5,8.6,11.5,0.08,0,0,0,0,0,0
1973,07,15,75.2,66.8,6.0,8.3,0.91,1,1,0,0,1,0
1973,07,16,73.5,61.3,10.3,5.9,0.2,1,0,0,0,0,0
1973,07,17,75.3,59.5,9.1,6.3,0.0,0,0,0,0,0,0
1973,07,18,77.8,58.0,10.7,5.4,0.0,0,0,0,0,0,0
1973,07,19,79.4,60.7,6.9,6.7,0.0,0,0,0,0,0,0
1973,07,20,80.7,66.1,5.8,8.6,99.99,0,1,0,0,0,0
1973,07,21,74.6,69.4,3.8,8.1,1.18,1,1,0,0,1,0
1973,07,22,75.5,64.8,5.0,6.9,0.0,1,1,0,0,0,0
1973,07,23,77.7,60.1,10.8,7.7,0.0,0,0,0,0,0,0
1973,07,24,77.3,59.7,14.8,5.9,0.0,0,0,0,0,0,0
1973,07,25,78.9,58.7,11.1,8.9,0.0,0,0,0,0,0,0
1973,07,26,77.6,65.8,9.7,8.7,0.24,0,1,0,0,0,0
1973,07,27,81.3,70.3,8.1,9.3,99.99,0,1,0,0,0,0
1973,07,28,83.3,68.6,8.0,8.0,0.0,0,0,0,0,0,0
1973,07,29,81.2,67.1,9.7,7.3,0.0,0,0,0,0,0,0
1973,07,30,79.0,62.8,11.8,6.3,0.0,0,0,0,0,0,0
1973,07,31,79.2,65.1,6.2,5.8,0.0,0,0,0,0,0,0
1973,08,01,75.5,68.8,3.0,5.1,0.0,1,1,0,0,0,0
1973,08,02,77.5,73.0,3.7,6.2,0.98,1,1,0,0,1,0
1973,08,03,79.5,73.7,3.6,4.1,99.99,1,1,0,0,0,0
1973,08,04,81.7,68.1,5.3,6.1,99.99,0,1,0,0,0,0
1973,08,05,80.1,60.0,14.0,6.8,0.0,0,0,0,0,0,0
1973,08,06,80.8,59.5,14.0,5.5,0.0,0,0,0,0,0,0
1973,08,07,81.0,60.9,7.7,7.1,0.0,0,0,0,0,0,0
1973,08,08,81.5,65.6,5.6,8.4,0.0,0,0,0,0,0,0
1973,08,09,83.4,66.8,5.9,9.6,0.0,0,0,0,0,0,0
1973,08,10,85.4,70.5,5.3,9.0,0.0,0,0,0,0,0,0
1973,08,11,81.7,71.6,6.5,7.0,0.08,0,0,0,0,1,0
1973,08,12,80.7,68.8,8.2,9.6,0.0,0,1,0,0,0,0
1973,08,13,78.1,63.8,14.2,7.7,99.99,0,1,0,0,0,0
1973,08,14,77.8,62.7,11.1,6.4,0.0,0,0,0,0,0,0
1973,08,15,76.6,67.3,7.1,6.8,0.0,0,0,0,0,0,0
1973,08,16,73.4,65.9,7.9,6.7,0.39,0,1,0,0,1,0
1973,08,17,75.0,66.0,7.2,4.7,0.0,0,0,0,0,0,0
1973,08,18,74.2,65.5,13.1,4.7,0.0,0,0,0,0,0,0
1973,08,19,74.9,64.1,10.9,6.5,0.0,1,0,0,0,0,0
1973,08,20,74.2,63.2,10.3,5.2,0.0,0,0,0,0,0,0
1973,08,21,73.6,58.8,13.1,8.2,0.0,0,0,0,0,0,0
1973,08,22,70.7,61.4,9.2,9.1,0.08,1,1,0,0,0,0
1973,08,23,70.0,55.0,11.6,7.9,0.0,0,0,0,0,0,0
1973,08,24,73.1,58.9,9.7,5.4,0.0,0,0,0,0,0,0
1973,08,25,76.2,59.2,7.0,5.2,0.0,0,0,0,0,0,0
1973,08,26,78.6,64.7,5.1,7.8,0.0,0,0,0,0,0,0
1973,08,27,83.1,70.5,3.3,7.3,99.99,0,1,0,0,0,0
1973,08,28,87.8,74.2,4.3,9.1,0.0,0,0,0,0,0,0
1973,08,29,87.8,70.6,7.3,6.2,0.0,0,0,0,0,0,0
1973,08,30,88.8,70.4,7.0,6.5,0.0,0,0,0,0,0,0
1973,08,31,88.7,70.1,4.5,6.0,0.0,0,0,0,0,0,0
1973,09,01,82.3,66.2,7.9,6.5,99.99,1,1,0,0,1,0
1973,09,02,85.2,72.4,3.8,3.4,0.31,1,1,0,0,0,0
1973,09,03,85.2,71.8,4.1,5.0,99.99,0,1,0,0,1,0
1973,09,04,83.1,70.3,5.1,5.7,99.99,0,1,0,0,1,0
1973,09,05,83.2,71.2,4.4,6.5,99.99,0,1,0,0,0,0
1973,09,06,81.6,71.0,4.3,10.3,0.0,0,0,0,0,0,0
1973,09,07,76.3,59.3,12.9,8.0,0.0,0,0,0,0,0,0
1973,09,08,72.7,50.9,19.9,9.5,0.0,0,0,0,0,0,0
1973,09,09,69.7,48.9,19.9,8.9,0.0,0,0,0,0,0,0
1973,09,10,65.7,43.8,19.3,7.9,0.0,0,0,0,0,0,0
1973,09,11,70.7,53.7,14.2,11.3,0.0,0,0,0,0,0,0
1973,09,12,72.7,48.9,16.0,10.2,0.0,0,0,0,0,0,0
1973,09,13,68.8,45.5,17.8,6.3,0.0,0,0,0,0,0,0
1973,09,14,70.7,59.0,11.6,8.0,0.01,1,1,0,0,0,0
1973,09,15,64.9,58.0,10.5,10.1,0.77,1,1,0,0,0,0
1973,09,16,69.5,59.9,7.6,8.2,0.0,1,0,0,0,0,0
1973,09,17,65.1,48.6,18.4,9.0,0.0,0,0,0,0,0,0
1973,09,18,70.1,61.1,10.9,8.8,0.0,0,1,0,0,0,0
1973,09,19,62.1,44.6,18.8,8.3,0.0,0,0,0,0,0,0
1973,09,20,63.7,51.6,10.8,7.9,0.0,1,0,0,0,0,0
1973,09,21,59.5,41.1,19.1,8.9,0.0,0,0,0,0,0,0
1973,09,22,62.4,51.3,12.5,6.4,0.0,0,1,0,0,0,0
1973,09,23,74.6,64.2,8.6,9.2,0.12,1,1,0,0,1,0
1973,09,24,68.1,60.1,9.6,6.9,0.35,1,1,0,0,0,0
